# time[s],voltage[V]
0.0000000000e+00,0.0000000000e+00
6.9047921012e-11,-6.3999090855e-04
1.1925341499e-10,-1.0909361575e-03
1.7307946267e-10,-1.5613467465e-03
2.3078715915e-10,-2.0511049234e-03
2.9265642834e-10,-2.5599407677e-03
3.5898738077e-10,-3.0874147239e-03
4.3010176935e-10,-3.6329001966e-03
4.6755959963e-10,-3.9121461198e-03
5.4650364025e-10,-4.4830235115e-03
6.3114070597e-10,-5.0694194564e-03
6.7572128813e-10,-5.3680072298e-03
7.6967684463e-10,-5.9749669513e-03
8.1916572247e-10,-6.2828928523e-03
9.2346573004e-10,-6.9064001959e-03
1.0352873004e-09,-7.5382770351e-03
1.0941866806e-09,-7.8566047023e-03
1.2183197396e-09,-8.4964036444e-03
1.2837039066e-09,-8.8171764130e-03
1.4215039419e-09,-9.4586187537e-03
1.4940868669e-09,-9.7785105707e-03
1.6470586043e-09,-1.0414609198e-02
1.7276328664e-09,-1.0729978056e-02
1.8974467015e-09,-1.1353209217e-02
1.9868921420e-09,-1.1660200085e-02
2.1754023797e-09,-1.2262743657e-02
2.3775069749e-09,-1.2847141553e-02
2.4839608133e-09,-1.3131471483e-02
2.7083170047e-09,-1.3682347597e-02
2.9488525736e-09,-1.4206947575e-02
3.2067342907e-09,-1.4702453346e-02
3.4832130683e-09,-1.5166413970e-02
3.7796300274e-09,-1.5596819095e-02
4.0974230041e-09,-1.5992163025e-02
4.6175947693e-09,-1.6517520780e-02
5.1950371375e-09,-1.6961281505e-02
6.0650447917e-09,-1.7430429602e-02
7.6197781845e-09,-1.7900855963e-02
1.2340466513e-08,-1.8281094067e-02
2.1233818503e-08,-1.8328996283e-02
3.6226345360e-08,-1.8330765750e-02
6.1500939439e-08,-1.8332051569e-02
1.0410917433e-07,-1.8334225229e-02
1.7593868322e-07,-1.8337838105e-02
2.9702979063e-07,-1.8343734047e-02
5.0116673271e-07,-1.8353244444e-02
8.4530340804e-07,-1.8368554715e-02
1.4254534294e-06,-1.8393297563e-02
2.4034777769e-06,-1.8433443777e-02
4.1958358208e-06,-1.8504222888e-02
7.0738239468e-06,-1.8613170432e-02
1.1925573245e-05,-1.8787480059e-02
2.0104714442e-05,-1.9060217981e-02
3.3893215584e-05,-1.9470029323e-02
5.3294673521e-05,-1.9957979529e-02
7.8164992697e-05,-2.0460574441e-02
1.0692982137e-04,-2.0907515631e-02
1.5146274595e-04,-2.1393833349e-02
2.3001381611e-04,-2.1876592760e-02
3.8776067160e-04,-2.2225762925e-02
6.5369234395e-04,-2.2354410513e-02
1.1020033682e-03,-2.2422214519e-02
1.8577718432e-03,-2.2498704169e-02
3.1318560323e-03,-2.2594042625e-02
5.2797235004e-03,-2.2711443323e-02
8.9006260281e-03,-2.2853762184e-02
1.5536405382e-02,-2.3035455130e-02
2.6191471902e-02,-2.3234664660e-02
4.4153919710e-02,-2.3460550959e-02
7.4435244623e-02,-2.3709199033e-02
1.2548389057e-01,-2.3973727418e-02
2.1154235269e-01,-2.4244494919e-02
3.5662081196e-01,-2.4510011911e-02
6.0119593947e-01,-2.4758518851e-02
1.0135038265e+00,-2.4979888923e-02
1.7085777510e+00,-2.5167296342e-02
2.8803422883e+00,-2.5318075039e-02
4.8557179751e+00,-2.5431816949e-02
8.1858316453e+00,-2.5501569742e-02
1.3799779985e+01,-2.5519881618e-02
2.3263846103e+01,-2.5507352221e-02
3.9218490158e+01,-2.5496190521e-02
6.6115033749e+01,-2.5497107004e-02
1.1540648174e+02,-2.5503106267e-02
1.9455372720e+02,-2.5506658007e-02
3.2798116878e+02,-2.5506960334e-02
5.5291486122e+02,-2.5503830112e-02
9.3211096508e+02,-2.5496998310e-02
1.5713646208e+03,-2.5487141795e-02
2.6490266330e+03,-2.5477345509e-02
4.4657630760e+03,-2.5471197127e-02
7.5284406741e+03,-2.5469146058e-02
1.2691541853e+04,-2.5468875372e-02
2.1395564045e+04,-2.5468866220e-02
3.6068916300e+04,-2.5468866177e-02
6.0805441741e+04,-2.5468866177e-02
1.0250659362e+05,-2.5468866177e-02
1.7280693033e+05,-2.5468866177e-02
2.9132013968e+05,-2.5468866177e-02
4.9111122812e+05,-2.5468866177e-02
7.8449793524e+05,-2.5468866177e-02
