# freq[/s],z_re[ohm],z_im[ohm]
1.0000000000e-05,4.4110435431e+00,3.7837264202e-04
1.2589254118e-05,4.4110664465e+00,4.7364157025e-04
1.5848931925e-05,4.4111022747e+00,5.9096086111e-04
1.9952623150e-05,4.4111579064e+00,7.3358201223e-04
2.5118864315e-05,4.4112433004e+00,9.0344850110e-04
3.1622776602e-05,4.4113721018e+00,1.0992723086e-03
3.9810717055e-05,4.4115613512e+00,1.3134672479e-03
5.0118723363e-05,4.4118290247e+00,1.5282044186e-03
6.3095734448e-05,4.4121879558e+00,1.7122404315e-03
7.9432823472e-05,4.4126361433e+00,1.8220929031e-03
1.0000000000e-04,4.4131474109e+00,1.8113901037e-03
1.2589254118e-04,4.4136702659e+00,1.6475516821e-03
1.5848931925e-04,4.4141401607e+00,1.3268917910e-03
1.9952623150e-04,4.4144999092e+00,8.7723364599e-04
2.5118864315e-04,4.4147157801e+00,3.4647365499e-04
3.1622776602e-04,4.4147819266e+00,-2.1420976180e-04
3.9810717055e-04,4.4147153471e+00,-7.6402713567e-04
5.0118723363e-04,4.4145461578e+00,-1.2805614569e-03
6.3095734448e-04,4.4143059313e+00,-1.7615370748e-03
7.9432823472e-04,4.4140175504e+00,-2.2194371213e-03
1.0000000000e-03,4.4136917377e+00,-2.6710571946e-03
1.2589254118e-03,4.4133324797e+00,-3.1285483977e-03
1.5848931925e-03,4.4129472950e+00,-3.5981013094e-03
1.9952623150e-03,4.4125554499e+00,-4.0867018028e-03
2.5118864315e-03,4.4121901075e+00,-4.6124877121e-03
3.1622776602e-03,4.4118981554e+00,-5.2156591019e-03
3.9810717055e-03,4.4117331546e+00,-5.9690729004e-03
5.0118723363e-03,4.4117479819e+00,-7.0051945971e-03
6.3095734448e-03,4.4119617500e+00,-8.5127074358e-03
7.9432823472e-03,4.4122978939e+00,-1.0765525977e-02
1.0000000000e-02,4.4125612663e+00,-1.4040702661e-02
1.2589254118e-02,4.4123564999e+00,-1.8549985714e-02
1.5848931925e-02,4.4112041549e+00,-2.4339835110e-02
1.9952623150e-02,4.4085951819e+00,-3.1194326539e-02
2.5118864315e-02,4.4041590499e+00,-3.8701508183e-02
3.1622776602e-02,4.3977568977e+00,-4.6294686528e-02
3.9810717055e-02,4.3895388523e+00,-5.3414441035e-02
5.0118723363e-02,4.3799239264e+00,-5.9668252537e-02
6.3095734448e-02,4.3694462485e+00,-6.4981026956e-02
7.9432823472e-02,4.3585092304e+00,-6.9577546795e-02
1.0000000000e-01,4.3472241095e+00,-7.3818999979e-02
1.2589254118e-01,4.3354570612e+00,-7.7924957877e-02
1.5848931925e-01,4.3230000349e+00,-8.1891706102e-02
1.9952623150e-01,4.3097778796e+00,-8.5569017099e-02
2.5118864315e-01,4.2958287050e+00,-8.8767206106e-02
3.1622776602e-01,4.2812787936e+00,-9.1375037001e-02
3.9810717055e-01,4.2662813691e+00,-9.3298743829e-02
5.0118723363e-01,4.2509943551e+00,-9.4508137685e-02
6.3095734448e-01,4.2355625190e+00,-9.4983579415e-02
7.9432823472e-01,4.2201548262e+00,-9.4748149327e-02
1.0000000000e+00,4.2049003643e+00,-9.3789575804e-02
1.2589254118e+00,4.1899440250e+00,-9.2202678620e-02
1.5848931925e+00,4.1754131278e+00,-9.0019447087e-02
1.9952623150e+00,4.1614250954e+00,-8.7337197937e-02
2.5118864315e+00,4.1480081193e+00,-8.4204858968e-02
3.1622776602e+00,4.1353300820e+00,-8.0820407153e-02
3.9810717055e+00,4.1233650664e+00,-7.7090585728e-02
5.0118723363e+00,4.1120981214e+00,-7.3363544431e-02
6.3095734448e+00,4.1017195360e+00,-6.9495873495e-02
7.9432823472e+00,4.0919509841e+00,-6.5690228872e-02
1.0000000000e+01,4.0830943850e+00,-6.2124423757e-02
1.2589254118e+01,4.0748755627e+00,-5.8635333785e-02
1.5848931925e+01,4.0673353000e+00,-5.5663181611e-02
1.9952623150e+01,4.0604953516e+00,-5.2892406315e-02
2.5118864315e+01,4.0540866102e+00,-5.0711479224e-02
3.1622776602e+01,4.0484838024e+00,-4.9135364514e-02
3.9810717055e+01,4.0431693319e+00,-4.8129755908e-02
