# freq[/s],z_re[ohm],z_im[ohm]
1.0000000000e-05,3.6346368144e+02,-6.2515823605e-01
1.2589254118e-05,3.6345592604e+02,-7.8746026097e-01
1.5848931925e-05,3.6344344903e+02,-9.9151563461e-01
1.9952623150e-05,3.6342344646e+02,-1.2480540796e+00
2.5118864315e-05,3.6339162954e+02,-1.5702889961e+00
3.1622776602e-05,3.6334111543e+02,-1.9744718108e+00
3.9810717055e-05,3.6326110026e+02,-2.4803650881e+00
5.0118723363e-05,3.6313467007e+02,-3.1113927250e+00
6.3095734448e-05,3.6293552398e+02,-3.8942460457e+00
7.9432823472e-05,3.6262322297e+02,-4.8570079671e+00
1.0000000000e-04,3.6213676251e+02,-6.0244027760e+00
1.2589254118e-04,3.6138691278e+02,-7.4075837173e+00
1.5848931925e-04,3.6025004942e+02,-8.9842971988e+00
1.9952623150e-04,3.5857116912e+02,-1.0664581089e+01
2.5118864315e-04,3.5619396105e+02,-1.2240975979e+01
3.1622776602e-04,3.5304863928e+02,-1.3340825941e+01
3.9810717055e-04,3.4932463033e+02,-1.3446833634e+01
5.0118723363e-04,3.4567353865e+02,-1.2121502914e+01
6.3095734448e-04,3.4315879730e+02,-9.5224684558e+00
7.9432823472e-04,3.4251404955e+02,-6.8178216440e+00
1.0000000000e-03,3.4306665096e+02,-5.4616581658e+00
1.2589254118e-03,3.4320383640e+02,-5.4826234691e+00
1.5848931925e-03,3.4244947490e+02,-5.6356050982e+00
1.9952623150e-03,3.4146953691e+02,-5.4088051921e+00
2.5118864315e-03,3.4056073888e+02,-4.9936447269e+00
3.1622776602e-03,3.3975829304e+02,-4.4588093437e+00
3.9810717055e-03,3.3911618853e+02,-3.8606475066e+00
5.0118723363e-03,3.3863695056e+02,-3.2707292650e+00
6.3095734448e-03,3.3829129664e+02,-2.7323727085e+00
7.9432823472e-03,3.3804538577e+02,-2.2634176833e+00
1.0000000000e-02,3.3787046264e+02,-1.8664028448e+00
1.2589254118e-02,3.3774505963e+02,-1.5363088418e+00
1.5848931925e-02,3.3765213005e+02,-1.2635443188e+00
1.9952623150e-02,3.3758321235e+02,-1.0550358807e+00
2.5118864315e-02,3.3755492768e+02,-8.5656180456e-01
3.1622776602e-02,3.3747166892e+02,-7.0768425164e-01
3.9810717055e-02,3.3744946402e+02,-6.2105021844e-01
5.0118723363e-02,3.3743549525e+02,-5.0913259057e-01
6.3095734448e-02,3.3739718375e+02,-4.5090638830e-01
7.9432823472e-02,3.3736384101e+02,-3.8360490285e-01
1.0000000000e-01,3.3734446272e+02,-3.3858994119e-01
1.2589254118e-01,3.3731368828e+02,-3.0702210226e-01
1.5848931925e-01,3.3729501135e+02,-2.8328392696e-01
1.9952623150e-01,3.3727450183e+02,-2.5600909253e-01
2.5118864315e-01,3.3723969167e+02,-2.3717223221e-01
3.1622776602e-01,3.3721211888e+02,-2.2558476467e-01
3.9810717055e-01,3.3719610051e+02,-2.1184775520e-01
5.0118723363e-01,3.3716671123e+02,-2.0082610379e-01
6.3095734448e-01,3.3714447340e+02,-1.9517097172e-01
7.9432823472e-01,3.3712194643e+02,-1.8952585076e-01
1.0000000000e+00,3.3709501010e+02,-1.8581947440e-01
1.2589254118e+00,3.3707209732e+02,-1.8480200232e-01
1.5848931925e+00,3.3704932104e+02,-1.8400616414e-01
1.9952623150e+00,3.3702375658e+02,-1.8326764175e-01
2.5118864315e+00,3.3699912920e+02,-1.8505588406e-01
3.1622776602e+00,3.3697452182e+02,-1.8691534585e-01
3.9810717055e+00,3.3694910441e+02,-1.8916492619e-01
5.0118723363e+00,3.3692273668e+02,-1.9300429404e-01
6.3095734448e+00,3.3689644989e+02,-1.9683900617e-01
7.9432823472e+00,3.3686940018e+02,-2.0176693889e-01
1.0000000000e+01,3.3684219916e+02,-2.0764076404e-01
1.2589254118e+01,3.3681511570e+02,-2.1446234002e-01
1.5848931925e+01,3.3678725060e+02,-2.2245438480e-01
1.9952623150e+01,3.3675954850e+02,-2.3232228021e-01
2.5118864315e+01,3.3673194212e+02,-2.4458757711e-01
3.1622776602e+01,3.3670408531e+02,-2.5958889078e-01
3.9810717055e+01,3.3667618242e+02,-2.7888113603e-01
5.0118723363e+01,3.3664835571e+02,-3.0326451270e-01
6.3095734448e+01,3.3661961466e+02,-3.3393777740e-01
7.9432823472e+01,3.3658953581e+02,-3.7328478883e-01
1.0000000000e+02,3.3655745690e+02,-4.2308003525e-01
1.2589254118e+02,3.3652129008e+02,-4.8520788794e-01
1.5848931925e+02,3.3647891463e+02,-5.6310445127e-01
1.9952623150e+02,3.3642714523e+02,-6.5927158493e-01
2.5118864315e+02,3.3636089002e+02,-7.7563242496e-01
3.1622776602e+02,3.3627354347e+02,-9.1465912934e-01
3.9810717055e+02,3.3615690451e+02,-1.0759550310e+00
5.0118723363e+02,3.3600060600e+02,-1.2554353296e+00
6.3095734448e+02,3.3579391834e+02,-1.4454548199e+00
7.9432823472e+02,3.3552871495e+02,-1.6309286173e+00
1.0000000000e+03,3.3520262134e+02,-1.7902864689e+00
1.2589254118e+03,3.3482363309e+02,-1.9002381405e+00
1.5848931925e+03,3.3441317918e+02,-1.9399428990e+00
1.9952623150e+03,3.3400207160e+02,-1.8997543202e+00
2.5118864315e+03,3.3362215053e+02,-1.7874598526e+00
3.1622776602e+03,3.3329759698e+02,-1.6234451096e+00
3.9810717055e+03,3.3303844498e+02,-1.4336880314e+00
5.0118723363e+03,3.3284162830e+02,-1.2425434617e+00
6.3095734448e+03,3.3269781098e+02,-1.0663023438e+00
7.9432823472e+03,3.3259500363e+02,-9.1387765458e-01
1.0000000000e+04,3.3252164221e+02,-7.8948105439e-01
1.2589254118e+04,3.3246945025e+02,-6.9348883597e-01
1.5848931925e+04,3.3243190131e+02,-6.2483538795e-01
1.9952623150e+04,3.3240386897e+02,-5.8281236116e-01
2.5118864315e+04,3.3238276023e+02,-5.6676536793e-01
3.1622776602e+04,3.3236642611e+02,-5.7624291512e-01
3.9810717055e+04,3.3235225662e+02,-6.1285084819e-01
5.0118723363e+04,3.3234037094e+02,-6.7984685109e-01
