# time[s],voltage[V]
0.0000000000e+00,0.0000000000e+00
4.3355467522e-12,-1.4041489444e-04
1.3777224177e-11,-4.3510086563e-04
3.6362794997e-11,-1.1079918546e-03
8.5548211815e-11,-2.4972885080e-03
1.8169163856e-10,-4.9946744899e-03
2.8395841424e-10,-7.3881120332e-03
3.9629377074e-10,-9.7695037026e-03
5.3254610032e-10,-1.2386535575e-02
6.6443997036e-10,-1.4697799124e-02
8.2880001021e-10,-1.7337232652e-02
9.9627684123e-10,-1.9804560598e-02
1.1542213248e-09,-2.1960542233e-02
1.3871978557e-09,-2.4884302623e-02
1.5489270843e-09,-2.6756958020e-02
1.7941989388e-09,-2.9381722711e-02
2.0782275776e-09,-3.2134524017e-02
2.3203322457e-09,-3.4266798508e-02
2.6874981653e-09,-3.7172345964e-02
3.0004686584e-09,-3.9376522584e-02
3.3498415524e-09,-4.1582021715e-02
3.7398509039e-09,-4.3770637131e-02
4.3313229447e-09,-4.6633408109e-02
4.8354909146e-09,-4.8720807203e-02
5.6000911913e-09,-5.1406812826e-02
6.4855102550e-09,-5.3975909992e-02
7.5108393613e-09,-5.6439372333e-02
8.6981864823e-09,-5.8826700745e-02
1.0073152995e-08,-6.1181873539e-02
1.1665385694e-08,-6.3556952227e-02
1.3509216031e-08,-6.6004565242e-02
1.5644400362e-08,-6.8571204671e-02
1.7464421386e-08,-7.0596419311e-02
2.0224589944e-08,-7.3450897907e-02
2.2577344568e-08,-7.5715991274e-02
2.5203754116e-08,-7.8091224244e-02
2.8135648097e-08,-8.0577114721e-02
3.1408558187e-08,-8.3172051445e-02
3.5062148845e-08,-8.5872554141e-02
3.7731025155e-08,-8.7729035185e-02
4.2119998165e-08,-9.0593098882e-02
4.5326056858e-08,-9.2551946899e-02
5.0598427488e-08,-9.5557608769e-02
5.4449790814e-08,-9.7601809324e-02
5.8594286572e-08,-9.9674406311e-02
6.5409919034e-08,-1.0282852674e-01
7.0388604859e-08,-1.0495577552e-01
7.5746225143e-08,-1.0709792778e-01
8.4556843578e-08,-1.1033008115e-01
9.0992827524e-08,-1.1249143607e-01
9.7918662844e-08,-1.1465330523e-01
1.0537163279e-07,-1.1681174685e-01
1.1762805838e-07,-1.2003482363e-01
1.2658113686e-07,-1.2216878484e-01
1.3621564616e-07,-1.2428730804e-01
1.4658345090e-07,-1.2638766493e-01
1.6363332877e-07,-1.2949909411e-01
1.7608793012e-07,-1.3154458857e-01
1.9656954965e-07,-1.3456620521e-01
2.1153097097e-07,-1.3654821717e-01
2.3613506150e-07,-1.3947146391e-01
2.5410786702e-07,-1.4138698717e-01
2.8366418555e-07,-1.4421088029e-01
3.0525449649e-07,-1.4606124261e-01
3.4075981069e-07,-1.4879006630e-01
3.8039483906e-07,-1.5146513461e-01
4.0934744984e-07,-1.5322000703e-01
4.5696008245e-07,-1.5581157307e-01
5.1011066251e-07,-1.5835649574e-01
5.6944332286e-07,-1.6085698249e-01
6.3567711714e-07,-1.6331479103e-01
7.0961473394e-07,-1.6573115652e-01
7.9215222460e-07,-1.6810674558e-01
8.8428986253e-07,-1.7044162879e-01
9.8714426547e-07,-1.7273526546e-01
1.1019619278e-06,-1.7498649616e-01
1.2760896426e-06,-1.7791900483e-01
1.4245152830e-06,-1.8006328990e-01
1.6496114662e-06,-1.8284274262e-01
1.8414823880e-06,-1.8486253129e-01
2.1324658869e-06,-1.8746036371e-01
2.4694293239e-06,-1.8993772191e-01
2.8596382474e-06,-1.9228027751e-01
3.3115062760e-06,-1.9447214357e-01
3.9780357004e-06,-1.9697377977e-01
4.9572448840e-06,-1.9957925790e-01
6.4082680414e-06,-2.0199322798e-01
9.5930209030e-06,-2.0421741828e-01
1.9257457520e-05,-2.0305648427e-01
2.6788994235e-05,-2.0040685810e-01
3.3383206246e-05,-1.9803110779e-01
4.0102465573e-05,-1.9575046232e-01
4.8174154656e-05,-1.9324986063e-01
5.7870485975e-05,-1.9057639495e-01
6.7014927228e-05,-1.8834127404e-01
7.7604333039e-05,-1.8604022299e-01
8.9867030377e-05,-1.8368816132e-01
1.0406742544e-04,-1.8129703432e-01
1.2051170474e-04,-1.7887618401e-01
1.3955443703e-04,-1.7643293133e-01
1.6160621848e-04,-1.7397330184e-01
1.8714252584e-04,-1.7150280066e-01
2.1671396866e-04,-1.6902711899e-01
2.5095816136e-04,-1.6655264760e-01
2.9061347140e-04,-1.6408669351e-01
3.3653493986e-04,-1.6163735677e-01
3.8971271764e-04,-1.5921311341e-01
4.5129341497e-04,-1.5682224106e-01
5.2260482437e-04,-1.5447226991e-01
6.2779295377e-04,-1.5160198076e-01
7.2699404728e-04,-1.4936563505e-01
8.4187046311e-04,-1.4718672593e-01
1.0113192988e-03,-1.4454833230e-01
1.2148742221e-03,-1.4200881954e-01
1.4593999908e-03,-1.3957176404e-01
1.7531430779e-03,-1.3724011082e-01
2.1060097785e-03,-1.3501631756e-01
2.6244119694e-03,-1.3249292941e-01
3.2704207999e-03,-1.3013034464e-01
4.2276971295e-03,-1.2757957416e-01
5.4651753125e-03,-1.2525145773e-01
7.3288010614e-03,-1.2286270336e-01
1.0195073769e-02,-1.2051727779e-01
1.5261774097e-02,-1.1812605862e-01
2.6456603383e-02,-1.1564316814e-01
5.7152440335e-02,-1.1338644671e-01
1.3285952025e-01,-1.1188094127e-01
2.9772957428e-01,-1.1097657660e-01
6.9211757484e-01,-1.1082784036e-01
1.5509906292e+00,-1.1160609650e-01
3.6055130751e+00,-1.1351704166e-01
6.4837273677e+00,-1.1594229658e-01
9.7059800275e+00,-1.1851330203e-01
1.3015720933e+01,-1.2086724218e-01
1.6825518604e+01,-1.2319850216e-01
2.1750472199e+01,-1.2574453011e-01
2.7104432345e+01,-1.2810300313e-01
3.3776289822e+01,-1.3065808682e-01
4.0574667022e+01,-1.3297291453e-01
4.8741398554e+01,-1.3548719689e-01
5.8551902144e+01,-1.3821953426e-01
6.7804017280e+01,-1.4056173642e-01
7.8518111127e+01,-1.4302707188e-01
9.0925199159e+01,-1.4558421185e-01
1.0150094231e+02,-1.4753369523e-01
1.1753967667e+02,-1.5012434201e-01
1.3611278158e+02,-1.5263521884e-01
1.5762072719e+02,-1.5498335812e-01
1.8934609322e+02,-1.5756864051e-01
2.2745703346e+02,-1.5965566732e-01
3.1641481543e+02,-1.6205758638e-01
6.8352987710e+02,-1.6352646121e-01
1.5889689226e+03,-1.6399229248e-01
3.5607763748e+03,-1.6433146587e-01
8.2775650187e+03,-1.6441691810e-01
1.8549486739e+04,-1.6441915737e-01
3.8768124353e+04,-1.6441915890e-01
6.1768124353e+04,-1.6441915890e-01
8.3768124353e+04,-1.6441915890e-01
1.0676812435e+05,-1.6441915890e-01
1.2876812435e+05,-1.6441915890e-01
1.5176812435e+05,-1.6441915890e-01
1.7376812435e+05,-1.6441915890e-01
1.9676812435e+05,-1.6441915890e-01
2.1876812435e+05,-1.6441915890e-01
2.4176812435e+05,-1.6441915890e-01
2.6376812435e+05,-1.6441915890e-01
2.8676812435e+05,-1.6441915890e-01
3.0876812435e+05,-1.6441915890e-01
3.3176812435e+05,-1.6441915890e-01
3.5376812435e+05,-1.6441915890e-01
3.7676812435e+05,-1.6441915890e-01
3.9876812435e+05,-1.6441915890e-01
4.2176812435e+05,-1.6441915890e-01
4.4376812435e+05,-1.6441915890e-01
4.6676812435e+05,-1.6441915890e-01
4.8876812435e+05,-1.6441915890e-01
5.1176812435e+05,-1.6441915890e-01
5.3376812435e+05,-1.6441915890e-01
5.5576812435e+05,-1.6441915890e-01
5.7876812435e+05,-1.6441915890e-01
6.0076812435e+05,-1.6441915890e-01
6.2376812435e+05,-1.6441915890e-01
6.4576812435e+05,-1.6441915890e-01
6.6876812435e+05,-1.6441915890e-01
6.9076812435e+05,-1.6441915890e-01
7.1376812435e+05,-1.6441915890e-01
7.3576812435e+05,-1.6441915890e-01
7.5876812435e+05,-1.6441915890e-01
7.8076812435e+05,-1.6441915890e-01
8.0376812435e+05,-1.6441915890e-01
8.2576812435e+05,-1.6441915890e-01
8.4876812435e+05,-1.6441915890e-01
8.7076812435e+05,-1.6441915890e-01
8.9376812435e+05,-1.6441915890e-01
9.1576812435e+05,-1.6441915890e-01
9.3876812435e+05,-1.6441915890e-01
9.6076812435e+05,-1.6441915890e-01
9.8376812435e+05,-1.6441915890e-01
1.0057681244e+06,-1.6441915890e-01
1.0277681244e+06,-1.6441915890e-01
